127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000590
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000802
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000950
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000550
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000782
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000685
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000671
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000643
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000649
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000641
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000508
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000465
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000580
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000746
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000779
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000730
127.0.0.1, 2015-08-20 02:49:57, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000635
